No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue,market_cap_int
1,NVDA,NVIDIA Corporation,4.55T,187.24,-0.47%,187.14B,4550000000000
2,AAPL,Apple Inc.,3.88T,262.36,-1.83%,416.16B,3880000000000
3,GOOGL,"Alphabet, Inc.",3.79T,314.34,-0.70%,385.48B,3790000000000
4,MSFT,Microsoft Corporation,3.56T,478.51,1.20%,293.81B,3560000000000
5,AMZN,"Amazon.com, Inc.",2.58T,240.93,3.38%,691.33B,2580000000000
6,META,"Meta Platforms, Inc.",1.67T,660.62,0.28%,189.46B,1670000000000
7,AVGO,Broadcom Inc.,1.63T,343.77,0.10%,63.89B,1630000000000
8,TSLA,"Tesla, Inc.",1.44T,432.96,-4.14%,95.63B,1440000000000
9,TSM,Taiwan Semiconductor Manufacturing Company Limited,1.40T,327.43,1.61%,119.13B,1400000000000
10,BRK.B,Berkshire Hathaway Inc.,1.08T,499.05,0.11%,372.13B,1080000000000
11,LLY,Eli Lilly and Company,952.72B,1064.04,2.16%,59.42B,952720000000
12,WMT,Walmart Inc.,911.31B,114.34,1.45%,703.06B,911310000000
13,JPM,JPMorgan Chase & Co.,910.90B,334.61,0.62%,167.23B,910900000000
14,V,Visa Inc.,683.74B,357.56,1.06%,40.00B,683740000000
15,ORCL,Oracle Corporation,556.67B,193.75,0.60%,61.02B,556670000000
16,MA,Mastercard Incorporated,521.14B,580.34,2.07%,31.47B,521140000000
17,XOM,Exxon Mobil Corporation,510.49B,121.05,-3.44%,326.25B,510490000000
18,JNJ,Johnson & Johnson,493.40B,204.79,0.23%,92.15B,493400000000
19,ASML,ASML Holding N.V.,480.30B,1242.19,1.14%,37.67B,480300000000
20,PLTR,Palantir Technologies Inc.,428.33B,179.71,3.26%,3.90B,428330000000
21,BAC,Bank of America Corporation,418.07B,57.25,0.63%,101.45B,418070000000
22,NFLX,"Netflix, Inc.",414.22B,90.65,-0.89%,43.38B,414220000000
23,ABBV,AbbVie Inc.,395.77B,223.93,1.70%,59.64B,395770000000
24,COST,Costco Wholesale Corporation,394.64B,889.1,1.53%,280.39B,394640000000
25,MU,"Micron Technology, Inc.",386.53B,343.43,10.02%,42.31B,386530000000
26,AMD,"Advanced Micro Devices, Inc.",348.97B,214.35,-3.04%,32.03B,348970000000
27,HD,"The Home Depot, Inc.",347.72B,349.29,1.51%,166.19B,347720000000
28,GE,GE Aerospace,345.49B,327.54,0.99%,43.95B,345490000000
29,BABA,Alibaba Group Holding Limited,337.17B,150.9,-3.43%,142.16B,337170000000
30,PG,The Procter & Gamble Company,326.93B,139.91,-0.33%,84.93B,326930000000
31,UNH,UnitedHealth Group Incorporated,316.11B,348.97,2.03%,435.16B,316110000000
32,CVX,Chevron Corporation,315.20B,156.54,-4.46%,188.69B,315200000000
33,WFC,Wells Fargo & Company,302.58B,96.39,0.01%,79.07B,302580000000
34,GS,"The Goldman Sachs Group, Inc.",299.75B,955.47,0.74%,57.34B,299750000000
35,MS,Morgan Stanley,298.39B,187.75,0.65%,68.53B,298390000000
36,CSCO,"Cisco Systems, Inc.",297.24B,75.23,-0.46%,57.70B,297240000000
37,AZN,AstraZeneca PLC,293.89B,94.96,4.10%,58.13B,293890000000
38,KO,The Coca-Cola Company,291.82B,67.84,-0.15%,47.66B,291820000000
39,CAT,Caterpillar Inc.,291.59B,623.09,1.13%,64.67B,291590000000
40,TM,Toyota Motor Corporation,285.18B,215.27,-1.64%,333.71B,285180000000
41,IBM,International Business Machines Corporation,282.73B,302.47,2.54%,65.40B,282730000000
42,HSBC,HSBC Holdings plc,281.78B,82.08,0.98%,57.98B,281780000000
43,SAP,SAP SE,275.05B,237.98,-1.02%,42.82B,275050000000
44,MRK,"Merck & Co., Inc.",270.22B,108.87,1.33%,64.24B,270220000000
45,NVS,Novartis AG,268.87B,142.27,3.16%,56.37B,268870000000
46,AXP,American Express Company,264.22B,383.56,0.99%,65.29B,264220000000
47,LRCX,Lam Research Corporation,259.95B,206.96,6.26%,19.59B,259950000000
48,RTX,RTX Corporation,255.28B,190.4,1.14%,85.99B,255280000000
49,NVO,Novo Nordisk A/S,253.02B,56.26,2.09%,49.58B,253020000000
50,CRM,"Salesforce, Inc.",246.34B,262.9,2.59%,40.32B,246340000000
51,RY,Royal Bank of Canada,242.53B,170.42,-1.55%,44.42B,242530000000
52,PM,Philip Morris International Inc.,241.53B,155.16,-2.94%,39.99B,241530000000
53,AMAT,"Applied Materials, Inc.",234.72B,296.01,4.11%,28.37B,234720000000
54,TMO,Thermo Fisher Scientific Inc.,233.21B,620.72,1.56%,43.74B,233210000000
55,ABT,Abbott Laboratories,222.19B,127.78,1.05%,43.84B,222190000000
56,TMUS,"T-Mobile US, Inc.",222.14B,198.6,-1.13%,85.85B,222140000000
57,SHOP,Shopify Inc.,219.30B,168.45,1.35%,10.70B,219300000000
58,C,Citigroup Inc.,219.19B,122.5,-0.65%,75.38B,219190000000
59,MCD,McDonald's Corporation,215.62B,302.77,0.97%,26.26B,215620000000
60,SHEL,Shell plc,212.02B,72.9,-2.84%,269.08B,212020000000
61,ISRG,"Intuitive Surgical, Inc.",210.16B,592.85,4.67%,9.61B,210160000000
62,APP,AppLovin Corporation,208.60B,617.24,-2.48%,6.31B,208600000000
63,DIS,The Walt Disney Company,204.54B,114.57,0.44%,94.43B,204540000000
64,LIN,Linde plc,204.13B,437.16,0.94%,33.50B,204130000000
65,BX,Blackstone Inc.,199.93B,162.65,0.18%,12.79B,199930000000
66,INTC,Intel Corporation,199.59B,40.04,1.70%,53.44B,199590000000
67,QCOM,QUALCOMM Incorporated,193.95B,182.45,3.48%,44.28B,193950000000
68,PEP,"PepsiCo, Inc.",192.21B,138.96,-0.69%,92.37B,192210000000
69,MUFG,"Mitsubishi UFJ Financial Group, Inc.",189.87B,16.43,0.74%,38.57B,189870000000
70,GEV,GE Vernova Inc.,186.22B,686.33,0.80%,37.67B,186220000000
71,SCHW,The Charles Schwab Corporation,184.04B,103.57,-0.16%,22.91B,184040000000
72,KLAC,KLA Corporation,183.29B,1395.0,3.15%,12.52B,183290000000
73,BLK,"BlackRock, Inc.",181.46B,1112.28,-0.67%,22.89B,181460000000
74,INTU,Intuit Inc.,180.10B,647.2,2.11%,19.43B,180100000000
75,AMGN,Amgen Inc.,177.79B,330.17,2.95%,35.97B,177790000000
76,UBER,"Uber Technologies, Inc.",177.74B,85.54,5.95%,49.61B,177740000000
77,SAN,"Banco Santander, S.A.",176.81B,11.93,-1.32%,59.46B,176810000000
78,BA,The Boeing Company,174.70B,229.84,0.75%,80.76B,174700000000
79,TXN,Texas Instruments Incorporated,174.55B,192.1,8.43%,17.27B,174550000000
80,PDD,PDD Holdings Inc.,174.13B,122.66,2.97%,58.79B,174130000000
81,APH,Amphenol Corporation,173.06B,141.38,1.07%,20.97B,173060000000
82,T,AT&T Inc.,172.56B,24.34,-1.50%,124.48B,172560000000
83,BKNG,Booking Holdings Inc.,172.40B,5348.39,-0.35%,26.04B,172400000000
84,TJX,"The TJX Companies, Inc.",170.92B,153.92,0.05%,58.98B,170920000000
85,VZ,Verizon Communications Inc.,169.92B,40.3,0.17%,137.49B,169920000000
86,ACN,Accenture plc,169.78B,275.93,4.53%,70.73B,169780000000
87,NEE,"NextEra Energy, Inc.",168.80B,81.05,-0.33%,26.30B,168800000000
88,DHR,Danaher Corporation,167.12B,236.59,0.52%,24.27B,167120000000
89,ANET,"Arista Networks, Inc.",166.96B,132.58,-3.36%,8.45B,166960000000
90,HDB,HDFC Bank Limited,164.24B,33.43,-2.17%,30.21B,164240000000
91,COF,Capital One Financial Corporation,163.98B,257.94,2.97%,28.89B,163980000000
92,SPGI,S&P Global Inc.,163.41B,539.65,1.27%,15.01B,163410000000
93,TD,The Toronto-Dominion Bank,162.46B,94.63,-1.54%,45.15B,162460000000
94,BHP,BHP Group Limited,161.43B,64.8,2.63%,51.26B,161430000000
95,SONY,Sony Group Corporation,156.52B,25.74,-0.35%,88.86B,156520000000
96,NOW,"ServiceNow, Inc.",154.38B,148.81,0.82%,12.67B,154380000000
97,GILD,"Gilead Sciences, Inc.",150.57B,121.36,2.59%,29.09B,150570000000
98,UBS,UBS Group AG,149.65B,47.25,-1.79%,48.19B,149650000000
99,BSX,Boston Scientific Corporation,144.97B,97.79,2.42%,19.35B,144970000000
100,PFE,Pfizer Inc.,144.59B,25.43,1.03%,62.79B,144590000000
101,RIO,Rio Tinto Group,144.52B,85.23,2.43%,53.73B,144520000000
102,ADI,"Analog Devices, Inc.",143.44B,292.94,5.64%,11.02B,143440000000
103,ADBE,Adobe Inc.,140.65B,335.99,1.34%,23.77B,140650000000
104,SYK,Stryker Corporation,140.12B,366.39,5.05%,24.38B,140120000000
105,UL,Unilever PLC,139.32B,64.48,1.16%,70.19B,139320000000
106,UNP,Union Pacific Corporation,138.57B,233.62,0.71%,24.55B,138570000000
107,LOW,"Lowe's Companies, Inc.",138.27B,246.49,0.71%,84.26B,138270000000
108,TTE,TotalEnergies SE,137.93B,63.41,-4.37%,183.53B,137930000000
109,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",135.80B,23.41,-3.22%,37.12B,135800000000
110,DE,Deere & Company,131.43B,485.98,4.27%,45.63B,131430000000
111,SCCO,Southern Copper Corporation,131.12B,160.08,3.69%,12.33B,131120000000
112,SMFG,"Sumitomo Mitsui Financial Group, Inc.",130.20B,20.01,0.65%,23.14B,130199999999
113,HON,Honeywell International Inc.,130.11B,204.94,1.91%,40.67B,130110000000
114,PANW,"Palo Alto Networks, Inc.",129.54B,185.86,2.05%,9.56B,129539999999
115,ETN,Eaton Corporation plc,129.33B,332.97,3.32%,26.63B,129330000000
116,MDT,Medtronic plc,128.60B,100.31,3.03%,34.76B,128600000000
117,WELL,Welltower Inc.,127.42B,185.66,0.50%,9.91B,127420000000
118,BUD,Anheuser-Busch InBev SA/NV,125.40B,63.75,0.76%,58.61B,125400000000
119,PGR,The Progressive Corporation,124.52B,212.35,-0.27%,85.17B,124520000000
120,ARM,Arm Holdings plc,122.58B,115.53,-0.50%,4.41B,122580000000
121,CB,Chubb Limited,121.72B,309.29,-1.87%,58.84B,121720000000
122,PLD,"Prologis, Inc.",121.24B,127.46,-1.72%,9.10B,121240000000
123,KKR,KKR & Co. Inc.,121.06B,135.82,0.93%,22.25B,121060000000
124,LMT,Lockheed Martin Corporation,120.80B,522.04,2.05%,73.35B,120800000000
125,COP,ConocoPhillips,120.00B,97.11,-2.11%,61.28B,120000000000
126,NEM,Newmont Corporation,118.97B,109.2,5.48%,21.50B,118970000000
127,VRTX,Vertex Pharmaceuticals Incorporated,118.84B,468.38,4.36%,11.72B,118840000000
128,BTI,British American Tobacco p.l.c.,118.35B,54.06,-2.59%,35.07B,118350000000
129,SPOT,Spotify Technology S.A.,117.76B,571.43,-3.70%,19.83B,117760000000
130,PH,Parker-Hannifin Corporation,117.20B,928.76,2.41%,20.03B,117200000000
131,SNY,Sanofi,117.04B,48.17,1.39%,53.89B,117040000000
132,CRWD,"CrowdStrike Holdings, Inc.",115.54B,458.32,0.39%,4.57B,115540000000
133,IBN,ICICI Bank Limited,111.97B,30.87,2.63%,21.49B,111970000000
134,MELI,"MercadoLibre, Inc.",110.88B,2187.04,1.79%,26.19B,110880000000
135,BMY,Bristol-Myers Squibb Company,110.79B,54.42,2.56%,48.03B,110790000000
136,CEG,Constellation Energy Corporation,110.73B,354.58,-0.10%,24.84B,110730000000
137,HCA,"HCA Healthcare, Inc.",110.35B,483.6,1.21%,74.37B,110350000000
138,BN,Brookfield Corporation,109.61B,49.17,0.74%,76.93B,109610000000
139,HOOD,"Robinhood Markets, Inc.",109.43B,121.7,-1.25%,4.20B,109430000000
140,ADP,"Automatic Data Processing, Inc.",105.61B,261.12,1.48%,20.90B,105610000000
141,GSK,GSK plc,102.88B,50.56,3.14%,43.24B,102880000000
142,CVS,CVS Health Corporation,102.44B,80.7,0.35%,391.69B,102440000000
143,MCK,McKesson Corporation,102.01B,826.51,0.19%,387.09B,102010000000
144,SBUX,Starbucks Corporation,101.72B,89.46,3.35%,37.18B,101720000000
145,ENB,Enbridge Inc.,101.68B,45.7,-1.89%,46.12B,101680000000
146,CMCSA,Comcast Corporation,99.92B,27.42,-2.52%,123.31B,99920000000
147,DASH,"DoorDash, Inc.",98.86B,229.38,1.17%,12.64B,98860000000
148,SNPS,"Synopsys, Inc.",97.34B,508.77,2.95%,7.05B,97340000000
149,GD,General Dynamics Corporation,97.29B,360.71,1.45%,51.51B,97290000000
150,MFG,"Mizuho Financial Group, Inc.",97.29B,7.77,1.97%,26.75B,97290000000
151,CME,CME Group Inc.,97.06B,269.15,-2.15%,6.39B,97060000000
152,NKE,"NIKE, Inc.",96.74B,65.35,1.27%,46.51B,96740000000
153,CVNA,Carvana Co.,96.47B,440.44,2.41%,18.27B,96470000000
154,SO,The Southern Company,96.37B,87.52,0.75%,28.91B,96370000000
155,SOMN,The Southern Company,96.37B,49.89,0.65%,28.91B,96370000000
156,BMO,Bank of Montreal,95.60B,132.98,-0.86%,23.30B,95600000000
157,MCO,Moody's Corporation,95.07B,532.9,1.14%,7.50B,95070000000
158,ICE,"Intercontinental Exchange, Inc.",94.66B,166.01,0.24%,9.75B,94660000000
159,NTES,"NetEase, Inc.",93.25B,146.1,0.72%,15.71B,93250000000
160,MO,"Altria Group, Inc.",92.60B,55.16,-2.02%,20.17B,92600000000
161,BNS,The Bank of Nova Scotia,92.39B,72.22,-1.90%,22.58B,92390000000
162,DUK,Duke Energy Corporation,91.56B,117.74,0.80%,31.24B,91560000000
163,MMC,"Marsh & McLennan Companies, Inc.",90.90B,185.54,-0.96%,26.45B,90900000000
164,BCS,Barclays PLC,90.74B,26.25,-0.27%,34.97B,90740000000
165,AEM,Agnico Eagle Mines Limited,90.68B,180.62,3.12%,10.57B,90680000000
166,UPS,"United Parcel Service, Inc.",89.27B,105.22,3.16%,89.48B,89270000000
167,BP,BP p.l.c.,89.16B,34.36,-4.87%,185.93B,89160000000
168,BAM,Brookfield Asset Management Ltd.,88.96B,55.14,0.71%,4.49B,88960000000
169,APO,"Apollo Global Management, Inc.",88.63B,152.7,1.96%,27.22B,88630000000
170,MMM,3M Company,88.29B,166.21,1.63%,24.83B,88290000000
171,WM,"Waste Management, Inc.",88.26B,219.08,-0.16%,24.78B,88260000000
172,USB,U.S. Bancorp,87.17B,56.08,1.06%,26.01B,87170000000
173,NOC,Northrop Grumman Corporation,87.15B,610.61,-0.12%,40.93B,87150000000
174,NU,Nu Holdings Ltd.,86.54B,17.86,-0.45%,6.36B,86540000000
175,CRH,CRH plc,86.38B,128.87,0.44%,36.90B,86380000000
176,MAR,"Marriott International, Inc.",86.37B,321.86,3.48%,6.87B,86370000000
177,HWM,Howmet Aerospace Inc.,86.32B,214.69,0.83%,7.98B,86320000000
178,CM,Canadian Imperial Bank of Commerce,85.93B,91.01,-1.92%,19.12B,85930000000
179,CDNS,"Cadence Design Systems, Inc.",85.65B,314.64,4.46%,5.21B,85650000000
180,PNC,"The PNC Financial Services Group, Inc.",85.51B,218.04,1.04%,21.80B,85510000000
181,BK,The Bank of New York Mellon Corporation,84.60B,121.31,0.22%,19.73B,84600000000
182,SE,Sea Limited,84.59B,142.89,2.22%,21.04B,84590000000
183,TT,Trane Technologies plc,84.50B,381.1,-2.52%,21.05B,84500000000
184,ING,ING Groep N.V.,84.02B,28.62,-1.04%,23.51B,84020000000
185,SHW,The Sherwin-Williams Company,83.82B,340.09,2.38%,23.28B,83820000000
186,ABNB,"Airbnb, Inc.",83.69B,138.02,1.58%,11.94B,83690000000
187,ELV,"Elevance Health, Inc.",82.53B,371.37,2.16%,194.82B,82530000000
188,AMT,American Tower Corporation,82.31B,175.82,-0.24%,10.45B,82310000000
189,DELL,Dell Technologies Inc.,82.13B,123.93,-0.06%,104.09B,82130000000
190,EMR,Emerson Electric Co.,81.88B,145.62,1.94%,18.02B,81880000000
191,RCL,Royal Caribbean Cruises Ltd.,81.20B,297.75,6.28%,17.44B,81200000000
192,FCX,Freeport-McMoRan Inc.,80.63B,56.15,3.20%,26.00B,80630000000
193,SNOW,Snowflake Inc.,80.26B,234.53,4.53%,4.39B,80260000000
194,REGN,"Regeneron Pharmaceuticals, Inc.",79.67B,776.54,1.74%,14.25B,79670000000
195,LYG,Lloyds Banking Group plc,79.58B,5.44,-0.55%,24.11B,79580000000
196,ITUB,Itaú Unibanco Holding S.A.,79.46B,7.45,1.09%,25.40B,79460000000
197,NGG,National Grid plc,78.50B,79.59,1.70%,23.50B,78500000000
198,TDG,TransDigm Group Incorporated,77.97B,1384.4,1.21%,8.83B,77970000000
199,EQIX,"Equinix, Inc.",77.38B,788.06,2.08%,9.08B,77380000000
200,B,Barrick Mining Corporation,77.29B,47.74,4.37%,14.60B,77290000000
201,GM,General Motors Company,77.04B,82.18,-1.17%,187.44B,77040000000
202,ECL,Ecolab Inc.,76.91B,271.53,3.17%,15.89B,76910000000
203,GLW,Corning Incorporated,76.52B,89.25,0.63%,14.92B,76520000000
204,ORLY,"O'Reilly Automotive, Inc.",76.30B,90.39,-0.21%,17.46B,76300000000
205,CI,The Cigna Group,76.07B,284.76,0.28%,268.08B,76070000000
206,RELX,RELX PLC,75.56B,41.68,-1.02%,13.06B,75560000000
207,CMI,Cummins Inc.,75.47B,546.76,2.83%,33.58B,75470000000
208,AON,Aon plc,75.16B,349.67,-0.46%,17.03B,75160000000
209,WDC,Western Digital Corporation,75.01B,219.38,16.77%,10.13B,75010000000
210,CTAS,Cintas Corporation,74.92B,187.38,1.04%,10.79B,74920000000
211,MRVL,"Marvell Technology, Inc.",74.83B,88.23,-2.22%,7.79B,74830000000
212,DB,Deutsche Bank Aktiengesellschaft,74.46B,38.94,-1.89%,35.03B,74460000000
213,PBR,Petróleo Brasileiro S.A. - Petrobras,74.04B,11.57,-1.45%,92.21B,74040000000
214,MNST,Monster Beverage Corporation,73.98B,75.72,0.07%,7.98B,73980000000
215,ITW,Illinois Tool Works Inc.,73.73B,254.15,1.83%,15.88B,73730000000
216,PBR.A,Petróleo Brasileiro S.A. - Petrobras,73.27B,11.02,-1.34%,92.21B,73270000000
217,WMB,"The Williams Companies, Inc.",72.66B,59.5,-2.71%,11.58B,72660000000
